# Value averages  
# Time            	momentum_x        	momentum_y        	momentum_z        
0.00254	5.0202500079e-03	6.7472048992e-09	-2.4663344789e-08
0.00255	5.0202500078e-03	6.7364044009e-09	-2.4693974565e-08
0.00256	5.0202500078e-03	6.7255825978e-09	-2.4724176520e-08
0.00257	5.0202500078e-03	6.7147391944e-09	-2.4753957438e-08
0.00258	5.0202500077e-03	6.7038747952e-09	-2.4783319157e-08
0.00259	5.0202500077e-03	6.6929902961e-09	-2.4812268712e-08
0.0026	5.0202500077e-03	6.6820855114e-09	-2.4840808055e-08
0.00261	5.0202500077e-03	6.6711611091e-09	-2.4868944627e-08
0.00262	5.0202500076e-03	6.6602182349e-09	-2.4896679375e-08
0.00263	5.0202500076e-03	6.6492571004e-09	-2.4924021355e-08
0.00264	5.0202500076e-03	6.6382773680e-09	-2.4950970346e-08
0.00265	5.0202500075e-03	6.6272788180e-09	-2.4977532730e-08
0.00266	5.0202500075e-03	6.6162613525e-09	-2.5003709811e-08
0.00267	5.0202500075e-03	6.6052247529e-09	-2.5029508703e-08
0.00268	5.0202500075e-03	6.5941688696e-09	-2.5054929754e-08
0.00269	5.0202500074e-03	6.5830927856e-09	-2.5079981050e-08
0.0027	5.0202500074e-03	6.5719962612e-09	-2.5104662297e-08
0.00271	5.0202500074e-03	6.5608789591e-09	-2.5128980668e-08
0.00272	5.0202500073e-03	6.5497411865e-09	-2.5152936024e-08
0.00273	5.0202500073e-03	6.5385833465e-09	-2.5176534062e-08
0.00274	5.0202500073e-03	6.5274026895e-09	-2.5199777619e-08
0.00275	5.0202500073e-03	6.5161991944e-09	-2.5222672073e-08
0.00276	5.0202500072e-03	6.5049734464e-09	-2.5245217125e-08
0.00277	5.0202500072e-03	6.4937248132e-09	-2.5267419543e-08
0.00278	5.0202500072e-03	6.4824536424e-09	-2.5289280857e-08
0.00279	5.0202500072e-03	6.4711603335e-09	-2.5310807803e-08
0.0028	5.0202500071e-03	6.4598440692e-09	-2.5332001071e-08
0.00281	5.0202500071e-03	6.4485049114e-09	-2.5352865923e-08
0.00282	5.0202500071e-03	6.4371428011e-09	-2.5373402439e-08
0.00283	5.0202500071e-03	6.4257574093e-09	-2.5393614973e-08
0.00284	5.0202500070e-03	6.4143485075e-09	-2.5413504241e-08
0.00285	5.0202500070e-03	6.4029165188e-09	-2.5433075823e-08
0.00286	5.0202500070e-03	6.3914609075e-09	-2.5452330492e-08
0.00287	5.0202500070e-03	6.3799812672e-09	-2.5471272787e-08
0.00288	5.0202500069e-03	6.3684764698e-09	-2.5489902664e-08
0.00289	5.0202500069e-03	6.3569463299e-09	-2.5508224593e-08
0.0029	5.0202500069e-03	6.3453913872e-09	-2.5526239454e-08
0.00291	5.0202500069e-03	6.3338127623e-09	-2.5543952910e-08
0.00292	5.0202500068e-03	6.3222111346e-09	-2.5561365940e-08
0.00293	5.0202500068e-03	6.3105857967e-09	-2.5578483032e-08
0.00294	5.0202500068e-03	6.2989354348e-09	-2.5595305399e-08
0.00295	5.0202500068e-03	6.2872580712e-09	-2.5611837041e-08
0.00296	5.0202500067e-03	6.2755530547e-09	-2.5628078006e-08
0.00297	5.0202500067e-03	6.2638205827e-09	-2.5644032655e-08
0.00298	5.0202500067e-03	6.2520612521e-09	-2.5659702932e-08
0.00299	5.0202500067e-03	6.2402770865e-09	-2.5675093910e-08
0.003	5.0202500067e-03	6.2284689592e-09	-2.5690207207e-08
0.00301	5.0202500066e-03	6.2166354819e-09	-2.5705046263e-08
0.00302	5.0202500066e-03	6.2047759808e-09	-2.5719612780e-08
0.00303	5.0202500066e-03	6.1928893714e-09	-2.5733910519e-08
0.00304	5.0202500066e-03	6.1809758486e-09	-2.5747942443e-08
0.00305	5.0202500065e-03	6.1690351867e-09	-2.5761712175e-08
0.00306	5.0202500065e-03	6.1570659855e-09	-2.5775220056e-08
0.00307	5.0202500065e-03	6.1450673965e-09	-2.5788469067e-08
0.00308	5.0202500065e-03	6.1330388661e-09	-2.5801459116e-08
0.00309	5.0202500065e-03	6.1209799677e-09	-2.5814193738e-08
0.0031	5.0202500064e-03	6.1088891671e-09	-2.5826674667e-08
0.00311	5.0202500064e-03	6.0967658811e-09	-2.5838905005e-08
0.00312	5.0202500064e-03	6.0846088120e-09	-2.5850884435e-08
0.00313	5.0202500064e-03	6.0724177634e-09	-2.5862616039e-08
0.00314	5.0202500064e-03	6.0601932984e-09	-2.5874100282e-08
0.00315	5.0202500063e-03	6.0479341065e-09	-2.5885341601e-08
0.00316	5.0202500063e-03	6.0356395841e-09	-2.5896340914e-08
0.00317	5.0202500063e-03	6.0233119173e-09	-2.5907103744e-08
0.00318	5.0202500063e-03	6.0109507902e-09	-2.5917629912e-08
0.00319	5.0202500063e-03	5.9985580337e-09	-2.5927921955e-08
0.0032	5.0202500062e-03	5.9861339216e-09	-2.5937978912e-08
0.00321	5.0202500062e-03	5.9736790422e-09	-2.5947803685e-08
0.00322	5.0202500062e-03	5.9611935205e-09	-2.5957394718e-08
0.00323	5.0202500062e-03	5.9486791168e-09	-2.5966754677e-08
0.00324	5.0202500062e-03	5.9361350345e-09	-2.5975882933e-08
0.00325	5.0202500061e-03	5.9235620328e-09	-2.5984784058e-08
0.00326	5.0202500061e-03	5.9109598851e-09	-2.5993454749e-08
0.00327	5.0202500061e-03	5.8983288494e-09	-2.6001894196e-08
0.00328	5.0202500061e-03	5.8856681491e-09	-2.6010102127e-08
0.00329	5.0202500061e-03	5.8729777274e-09	-2.6018081510e-08
0.0033	5.0202500061e-03	5.8602574825e-09	-2.6025832575e-08
0.00331	5.0202500060e-03	5.8475088572e-09	-2.6033358834e-08
0.00332	5.0202500060e-03	5.8347321936e-09	-2.6040661086e-08
0.00333	5.0202500060e-03	5.8219287095e-09	-2.6047742077e-08
0.00334	5.0202500060e-03	5.8090993806e-09	-2.6054604252e-08
0.00335	5.0202500060e-03	5.7962461651e-09	-2.6061250609e-08
0.00336	5.0202500059e-03	5.7833707518e-09	-2.6067681554e-08
0.00337	5.0202500059e-03	5.7704746946e-09	-2.6073898937e-08
0.00338	5.0202500059e-03	5.7575601795e-09	-2.6079903653e-08
0.00339	5.0202500059e-03	5.7446280690e-09	-2.6085696044e-08
0.0034	5.0202500059e-03	5.7316798367e-09	-2.6091276820e-08
0.00341	5.0202500059e-03	5.7187149408e-09	-2.6096645417e-08
0.00342	5.0202500058e-03	5.7057359649e-09	-2.6101803490e-08
0.00343	5.0202500058e-03	5.6927423413e-09	-2.6106750996e-08
0.00344	5.0202500058e-03	5.6797354336e-09	-2.6111490143e-08
0.00345	5.0202500058e-03	5.6667134452e-09	-2.6116021097e-08
0.00346	5.0202500058e-03	5.6536756639e-09	-2.6120345095e-08
0.00347	5.0202500058e-03	5.6406226636e-09	-2.6124461639e-08
0.00348	5.0202500057e-03	5.6275556647e-09	-2.6128370641e-08
0.00349	5.0202500057e-03	5.6144739710e-09	-2.6132072820e-08
0.0035	5.0202500057e-03	5.6013781516e-09	-2.6135569203e-08
0.00351	5.0202500057e-03	5.5882681603e-09	-2.6138861990e-08
0.00352	5.0202500057e-03	5.5751458621e-09	-2.6141952908e-08
0.00353	5.0202500057e-03	5.5620097135e-09	-2.6144845041e-08
0.00354	5.0202500056e-03	5.5488603295e-09	-2.6147537930e-08
0.00355	5.0202500056e-03	5.5356969553e-09	-2.6150033073e-08
0.00356	5.0202500056e-03	5.5225192715e-09	-2.6152330246e-08
0.00357	5.0202500056e-03	5.5093278771e-09	-2.6154430821e-08
0.00358	5.0202500056e-03	5.4961235675e-09	-2.6156336631e-08
0.00359	5.0202500056e-03	5.4829051909e-09	-2.6158049034e-08
0.0036	5.0202500055e-03	5.4696739149e-09	-2.6159568547e-08
0.00361	5.0202500055e-03	5.4564290776e-09	-2.6160896505e-08
0.00362	5.0202500055e-03	5.4431708843e-09	-2.6162033469e-08
0.00363	5.0202500055e-03	5.4298997355e-09	-2.6162981805e-08
0.00364	5.0202500055e-03	5.4166162969e-09	-2.6163742540e-08
0.00365	5.0202500055e-03	5.4033198606e-09	-2.6164317650e-08
0.00366	5.0202500055e-03	5.3900102388e-09	-2.6164708307e-08
0.00367	5.0202500054e-03	5.3766869720e-09	-2.6164917448e-08
0.00368	5.0202500054e-03	5.3633499939e-09	-2.6164946010e-08
0.00369	5.0202500054e-03	5.3500000609e-09	-2.6164795287e-08
0.0037	5.0202500054e-03	5.3366383247e-09	-2.6164467246e-08
0.00371	5.0202500054e-03	5.3232642435e-09	-2.6163962737e-08
0.00372	5.0202500054e-03	5.3098782400e-09	-2.6163283907e-08
0.00373	5.0202500054e-03	5.2964806202e-09	-2.6162433426e-08
0.00374	5.0202500053e-03	5.2830703180e-09	-2.6161411305e-08
0.00375	5.0202500053e-03	5.2696464556e-09	-2.6160220170e-08
0.00376	5.0202500053e-03	5.2562088466e-09	-2.6158860974e-08
0.00377	5.0202500053e-03	5.2427551112e-09	-2.6157335864e-08
0.00378	5.0202500053e-03	5.2292828181e-09	-2.6155645871e-08
0.00379	5.0202500053e-03	5.2157918691e-09	-2.6153792084e-08
0.0038	5.0202500053e-03	5.2022833592e-09	-2.6151775122e-08
0.00381	5.0202500052e-03	5.1887567244e-09	-2.6149596496e-08
0.00382	5.0202500052e-03	5.1752123565e-09	-2.6147256979e-08
0.00383	5.0202500052e-03	5.1616512435e-09	-2.6144759270e-08
0.00384	5.0202500052e-03	5.1480749526e-09	-2.6142106248e-08
0.00385	5.0202500052e-03	5.1344838749e-09	-2.6139297867e-08
0.00386	5.0202500052e-03	5.1208781895e-09	-2.6136332580e-08
0.00387	5.0202500052e-03	5.1072561719e-09	-2.6133210631e-08
0.00388	5.0202500051e-03	5.0936184471e-09	-2.6129932364e-08
