# Solver information    
# Time                  	U_solver                	Ux_initial              	Ux_final                	Ux_iters                	Uy_initial              	Uy_final                	Uy_iters                	Uz_initial              	Uz_final                	Uz_iters                	U_converged             	epsilon_solver          	epsilon_initial         	epsilon_final           	epsilon_iters           	epsilon_converged       	k_solver                	k_initial               	k_final                 	k_iters                 	k_converged             	p_solver                	p_initial               	p_final                 	p_iters                 	p_converged             
0.00025                 	smoothSolver	5.8042800000000002e-03	5.4540200000000002e-08	2	5.0029300000000001e-03	4.3863400000000002e-08	2	4.9784800000000004e-03	4.3785499999999999e-08	2	false	smoothSolver	5.0565699999999998e-03	3.6595499999999998e-08	2	true	smoothSolver	1.5199100000000000e-02	1.0806399999999999e-07	2	true	GAMG	1.8706199999999999e-02	9.1656900000000000e-04	1	true
0.00026                 	smoothSolver	5.7501300000000000e-03	5.3822999999999998e-08	2	4.9499000000000001e-03	4.3369499999999997e-08	2	4.9260800000000002e-03	4.3305299999999999e-08	2	false	smoothSolver	4.9396700000000002e-03	3.5613100000000001e-08	2	true	smoothSolver	1.4526799999999999e-02	1.0285600000000000e-07	2	true	GAMG	1.7903400000000000e-02	8.7846300000000001e-04	1	true
0.00027                 	smoothSolver	5.7032000000000003e-03	5.3164099999999998e-08	2	4.9004199999999999e-03	4.2901299999999998e-08	2	4.8777999999999998e-03	4.2850200000000001e-08	2	false	smoothSolver	4.8274900000000003e-03	3.4645100000000002e-08	2	true	smoothSolver	1.3907299999999999e-02	9.8039299999999998e-08	2	true	GAMG	1.7168500000000000e-02	8.4251400000000004e-04	1	true
0.00028                 	smoothSolver	5.6621600000000003e-03	5.2556900000000000e-08	2	4.8545100000000002e-03	4.2458500000000003e-08	2	4.8332000000000002e-03	4.2426800000000002e-08	2	false	smoothSolver	4.7197400000000000e-03	3.3733500000000002e-08	2	true	smoothSolver	1.3334800000000001e-02	9.3532599999999999e-08	2	true	GAMG	1.6481500000000000e-02	8.0945900000000000e-04	1	true
0.00029                 	smoothSolver	5.6255899999999998e-03	5.1994500000000003e-08	2	4.8116599999999997e-03	4.2041599999999998e-08	2	4.7914400000000001e-03	4.2026199999999999e-08	2	false	smoothSolver	4.6161199999999996e-03	3.2863299999999998e-08	2	true	smoothSolver	1.2803999999999999e-02	8.9385700000000001e-08	2	true	GAMG	1.5862600000000001e-02	7.8032899999999996e-04	1	true
0.0003                  	smoothSolver	5.5928300000000000e-03	5.1473299999999997e-08	2	4.7713100000000000e-03	4.1650900000000001e-08	2	4.7521700000000000e-03	4.1657699999999999e-08	2	false	smoothSolver	4.5163900000000003e-03	3.1972600000000003e-08	2	true	smoothSolver	1.2310700000000001e-02	8.5509700000000000e-08	2	true	GAMG	1.5271600000000000e-02	7.5181900000000003e-04	1	true
0.00031                 	smoothSolver	5.5628300000000004e-03	5.0984399999999997e-08	2	4.7329399999999997e-03	4.1279899999999998e-08	2	4.7148800000000003e-03	4.1303200000000000e-08	2	false	smoothSolver	4.4204400000000003e-03	3.1149800000000000e-08	2	true	smoothSolver	1.1851300000000000e-02	8.1888699999999997e-08	2	true	GAMG	1.4722100000000000e-02	7.2479800000000002e-04	1	true
0.00032                 	smoothSolver	5.5351200000000001e-03	5.0519600000000003e-08	2	4.6963899999999999e-03	4.0922900000000003e-08	2	4.6794499999999999e-03	4.0966100000000003e-08	2	false	smoothSolver	4.3282199999999998e-03	3.0380800000000002e-08	2	true	smoothSolver	1.1422500000000000e-02	7.8582200000000006e-08	2	true	GAMG	1.4214600000000001e-02	7.0192599999999996e-04	1	true
0.00033                 	smoothSolver	5.5089800000000001e-03	5.0078600000000000e-08	2	4.6617999999999998e-03	4.0580999999999998e-08	2	4.6454900000000004e-03	4.0642600000000000e-08	2	false	smoothSolver	4.2397600000000004e-03	2.9601100000000000e-08	2	true	smoothSolver	1.1021800000000000e-02	7.5493000000000000e-08	2	true	GAMG	1.3732100000000001e-02	6.7807900000000005e-04	1	true
0.00034                 	smoothSolver	5.4842399999999996e-03	4.9656900000000000e-08	2	4.6288400000000004e-03	4.0253200000000001e-08	2	4.6129400000000003e-03	4.0330400000000000e-08	2	false	smoothSolver	4.1546400000000002e-03	2.8884100000000001e-08	2	true	smoothSolver	1.0646600000000001e-02	7.2591200000000002e-08	2	true	GAMG	1.3287200000000001e-02	6.5700399999999999e-04	1	true
