# Solver information    
# Time                  	U_solver                	Ux_initial              	Ux_final                	Ux_iters                	Uy_initial              	Uy_final                	Uy_iters                	Uz_initial              	Uz_final                	Uz_iters                	U_converged             	epsilon_solver          	epsilon_initial         	epsilon_final           	epsilon_iters           	epsilon_converged       	k_solver                	k_initial               	k_final                 	k_iters                 	k_converged             	p_solver                	p_initial               	p_final                 	p_iters                 	p_converged             
0.00026                 	smoothSolver	7.1228999999999997e-03	1.5866700000000000e-07	2	5.2145400000000001e-03	8.2476799999999994e-08	2	5.3129800000000001e-03	8.0678399999999998e-08	2	false	smoothSolver	5.4078700000000004e-03	3.4494200000000002e-08	2	true	smoothSolver	3.5227700000000001e-02	2.1368600000000000e-07	2	true	GAMG	2.6056500000000000e-02	1.4392299999999999e-03	1	true
0.00027                 	smoothSolver	6.8167999999999996e-03	1.4896999999999999e-07	2	5.0686999999999998e-03	7.9616599999999996e-08	2	5.1564000000000002e-03	7.7935300000000006e-08	2	false	smoothSolver	5.3663799999999996e-03	3.4105300000000003e-08	2	true	smoothSolver	3.3905699999999997e-02	2.0471399999999999e-07	2	true	GAMG	2.4867600000000000e-02	1.3600400000000001e-03	1	true
0.00028                 	smoothSolver	6.5426900000000003e-03	1.4049599999999999e-07	2	4.9385100000000001e-03	7.7049900000000000e-08	2	5.0165399999999999e-03	7.5507099999999995e-08	2	false	smoothSolver	5.3254399999999999e-03	3.3755099999999999e-08	2	true	smoothSolver	3.2678300000000000e-02	1.9669700000000000e-07	2	true	GAMG	2.3763099999999999e-02	1.2863900000000001e-03	1	true
0.00029                 	smoothSolver	6.2912799999999998e-03	1.3300900000000000e-07	2	4.8161599999999999e-03	7.4728099999999998e-08	2	4.8894200000000002e-03	7.3317099999999999e-08	2	false	smoothSolver	5.2850600000000003e-03	3.3356800000000001e-08	2	true	smoothSolver	3.1535800000000003e-02	1.8935900000000000e-07	2	true	GAMG	2.2749900000000000e-02	1.2197400000000000e-03	1	true
0.0003                  	smoothSolver	6.0552300000000000e-03	1.2607099999999999e-07	2	4.7005600000000003e-03	7.2582299999999997e-08	2	4.7720400000000000e-03	7.1242900000000006e-08	2	false	smoothSolver	5.2452000000000002e-03	3.3008699999999998e-08	2	true	smoothSolver	3.0469500000000000e-02	1.8235499999999999e-07	2	true	GAMG	2.1873699999999999e-02	1.1653000000000000e-03	1	true
0.00031                 	smoothSolver	5.8376000000000001e-03	1.1967900000000000e-07	2	4.5938000000000003e-03	7.0576100000000002e-08	2	4.6616499999999998e-03	6.9300900000000001e-08	2	false	smoothSolver	5.2058800000000004e-03	3.2653100000000000e-08	2	true	smoothSolver	2.9472100000000001e-02	1.7579199999999999e-07	2	true	GAMG	2.1015400000000000e-02	1.1197100000000001e-03	1	true
0.00032                 	smoothSolver	5.6364300000000004e-03	1.1379300000000001e-07	2	4.4952200000000003e-03	6.8724899999999996e-08	2	4.5605500000000000e-03	6.7512500000000003e-08	2	false	smoothSolver	5.1670800000000001e-03	3.2320500000000001e-08	2	true	smoothSolver	2.8537199999999999e-02	1.6985700000000001e-07	2	true	GAMG	2.0211400000000001e-02	1.0765600000000001e-03	1	true
0.00033                 	smoothSolver	5.4538299999999998e-03	1.0849300000000000e-07	2	4.4041999999999996e-03	6.6988500000000005e-08	2	4.4650000000000002e-03	6.5874100000000004e-08	2	false	smoothSolver	5.1287800000000003e-03	3.2002900000000000e-08	2	true	smoothSolver	2.7658900000000000e-02	1.6409999999999999e-07	2	true	GAMG	1.9361099999999999e-02	1.0304600000000000e-03	1	true
0.00034                 	smoothSolver	5.2859900000000000e-03	1.0356600000000000e-07	2	4.3194799999999997e-03	6.5359600000000002e-08	2	4.3755399999999998e-03	6.4283900000000003e-08	2	false	smoothSolver	5.0909700000000002e-03	3.1705400000000000e-08	2	true	smoothSolver	2.6832399999999999e-02	1.5868099999999999e-07	2	true	GAMG	1.8658000000000001e-02	9.9489299999999995e-04	1	true
0.00035                 	smoothSolver	5.1326100000000001e-03	9.9089400000000003e-08	2	4.2396500000000002e-03	6.3808300000000001e-08	2	4.2918699999999997e-03	6.2787500000000006e-08	2	false	smoothSolver	5.0536499999999998e-03	3.1360800000000001e-08	2	true	smoothSolver	2.6053099999999999e-02	1.5383400000000000e-07	2	true	GAMG	1.8028400000000000e-02	9.5993000000000001e-04	1	true
0.00036                 	smoothSolver	4.9916600000000002e-03	9.4964700000000001e-08	2	4.1669100000000002e-03	6.2365200000000000e-08	2	4.2161100000000003e-03	6.1391900000000006e-08	2	false	smoothSolver	5.0168000000000001e-03	3.1095199999999999e-08	2	true	smoothSolver	2.5317200000000002e-02	1.4921600000000000e-07	2	true	GAMG	1.7437399999999999e-02	9.2795300000000002e-04	1	true
