# Momentum        
#
# Time            	(momentum_x momentum_y momentum_z)	volume            
0.00144           	(5.0202519972e-03 6.6694969849e-09 -3.6028844008e-08)	5.0202519972e-03
0.00145           	(5.0202519972e-03 6.6571735335e-09 -3.6030145957e-08)	5.0202519972e-03
0.00146           	(5.0202519972e-03 6.6445588269e-09 -3.6029639179e-08)	5.0202519972e-03
0.00147           	(5.0202519972e-03 6.6313446009e-09 -3.6029799445e-08)	5.0202519972e-03
0.00148           	(5.0202519972e-03 6.6178875035e-09 -3.6028041765e-08)	5.0202519972e-03
0.00149           	(5.0202519972e-03 6.6039868719e-09 -3.6027178067e-08)	5.0202519972e-03
0.0015            	(5.0202519972e-03 6.5902295004e-09 -3.6024260671e-08)	5.0202519972e-03
0.00151           	(5.0202519972e-03 6.5756281760e-09 -3.6021811426e-08)	5.0202519972e-03
0.00152           	(5.0202519972e-03 6.5605112240e-09 -3.6017227683e-08)	5.0202519972e-03
0.00153           	(5.0202519972e-03 6.5443861677e-09 -3.6013028261e-08)	5.0202519972e-03
0.00154           	(5.0202519972e-03 6.5279840542e-09 -3.6006953292e-08)	5.0202519972e-03
0.00155           	(5.0202519972e-03 6.5111113012e-09 -3.6001696285e-08)	5.0202519972e-03
0.00156           	(5.0202519972e-03 6.4937018535e-09 -3.5994623437e-08)	5.0202519972e-03
0.00157           	(5.0202519972e-03 6.4756742638e-09 -3.5988484551e-08)	5.0202519972e-03
0.00158           	(5.0202519972e-03 6.4572343571e-09 -3.5980381656e-08)	5.0202519972e-03
0.00159           	(5.0202519972e-03 6.4381069162e-09 -3.5973004997e-08)	5.0202519972e-03
0.0016            	(5.0202519972e-03 6.4185536787e-09 -3.5963879278e-08)	5.0202519972e-03
0.00161           	(5.0202519972e-03 6.3979154130e-09 -3.5955632232e-08)	5.0202519972e-03
0.00162           	(5.0202519972e-03 6.3765724834e-09 -3.5945571963e-08)	5.0202519972e-03
0.00163           	(5.0202519972e-03 6.3544768230e-09 -3.5935960830e-08)	5.0202519972e-03
0.00164           	(5.0202519972e-03 6.3320612537e-09 -3.5924506070e-08)	5.0202519972e-03
0.00165           	(5.0202519972e-03 6.3089453088e-09 -3.5913106303e-08)	5.0202519972e-03
0.00166           	(5.0202519972e-03 6.2855863009e-09 -3.5899547470e-08)	5.0202519972e-03
0.00167           	(5.0202519972e-03 6.2617592718e-09 -3.5886106898e-08)	5.0202519972e-03
0.00168           	(5.0202519972e-03 6.2377645424e-09 -3.5870606954e-08)	5.0202519972e-03
0.00169           	(5.0202519972e-03 6.2133644543e-09 -3.5855217731e-08)	5.0202519972e-03
0.0017            	(5.0202519972e-03 6.1889036365e-09 -3.5837617038e-08)	5.0202519972e-03
0.00171           	(5.0202519972e-03 6.1641511304e-09 -3.5820083130e-08)	5.0202519972e-03
0.00172           	(5.0202519972e-03 6.1393064264e-09 -3.5800524216e-08)	5.0202519972e-03
0.00173           	(5.0202519972e-03 6.1140574022e-09 -3.5780948094e-08)	5.0202519972e-03
0.00174           	(5.0202519972e-03 6.0885638767e-09 -3.5759256172e-08)	5.0202519972e-03
0.00175           	(5.0202519972e-03 6.0626700346e-09 -3.5737552986e-08)	5.0202519972e-03
0.00176           	(5.0202519972e-03 6.0366971303e-09 -3.5713953549e-08)	5.0202519972e-03
0.00177           	(5.0202519972e-03 6.0104293736e-09 -3.5690742619e-08)	5.0202519972e-03
0.00178           	(5.0202519972e-03 5.9841732713e-09 -3.5665511474e-08)	5.0202519972e-03
0.00179           	(5.0202519972e-03 5.9573321082e-09 -3.5640011847e-08)	5.0202519972e-03
0.0018            	(5.0202519972e-03 5.9300889464e-09 -3.5612160015e-08)	5.0202519972e-03
0.00181           	(5.0202519972e-03 5.9022682987e-09 -3.5584702224e-08)	5.0202519972e-03
0.00182           	(5.0202519972e-03 5.8737420667e-09 -3.5555380000e-08)	5.0202519972e-03
0.00183           	(5.0202519972e-03 5.8451109343e-09 -3.5526116860e-08)	5.0202519972e-03
0.00184           	(5.0202519972e-03 5.8178184614e-09 -3.5495360355e-08)	5.0202519972e-03
0.00185           	(5.0202519972e-03 5.7902781382e-09 -3.5464538030e-08)	5.0202519972e-03
0.00186           	(5.0202519972e-03 5.7625777815e-09 -3.5432163966e-08)	5.0202519972e-03
0.00187           	(5.0202519972e-03 5.7345327722e-09 -3.5400042913e-08)	5.0202519972e-03
0.00188           	(5.0202519972e-03 5.7065217777e-09 -3.5366682916e-08)	5.0202519972e-03
0.00189           	(5.0202519972e-03 5.6782358152e-09 -3.5333718631e-08)	5.0202519972e-03
0.0019            	(5.0202519972e-03 5.6499679000e-09 -3.5299071995e-08)	5.0202519972e-03
0.00191           	(5.0202519972e-03 5.6216377361e-09 -3.5264692475e-08)	5.0202519972e-03
0.00192           	(5.0202519972e-03 5.5932576813e-09 -3.5228697945e-08)	5.0202519972e-03
0.00193           	(5.0202519972e-03 5.5646154707e-09 -3.5192949995e-08)	5.0202519972e-03
0.00194           	(5.0202519972e-03 5.5359154697e-09 -3.5155665764e-08)	5.0202519972e-03
